Movie,Worldwide Net Revenue
Tower Heist,65422946 
102 Dalmatians,-18058441 
Mirror Mirror,88613482 
The Holiday,119920447 
The Fast and the Furious: Tokyo Drift,72794205 
Memoirs of a Geisha,76510853 
Enemy at the Gates,11971293 
Last Action Hero,52298489 
The Rundown,-4168107 
Arthur Christmas,62865565 
xXx: Return of Xander Cage,260033359 
Meet Joe Black,-40349997 
Cats & Dogs: The Revenge of Kitty Galore,28026383 
Collateral Damage,-6646492 
Showtime,-6051235 
Judge Dredd,28487912 
Zodiac,-1919916 
Scott Pilgrim vs. The World,-35713452 
The Core,-10879208 
Father's Day,-49318920 
The Greatest Showman,347548346 
Scooby-Doo,192294164 
Nutty Professor II: The Klumps,82307945 
RED 2,57507355 
Click,155185089 
Charlotte\'s Web,61485708 
Jumper,140140812 
Hellboy II: The Golden Army,77888063 
The Longest Yard,109558505 
The Expendables,186268174 
Birds of Prey (And the Fantabulous Emancipation…,119005552 
The Boss Baby: Family Business,64281732 
The 6th Day,14024898 
Bruce Almighty,403468608 
The Hunger Games,597923379 
Minions: The Rise of Gru,858349810 
The Hangover Part II,506764305 
Mission: Impossible,377697994 
The Lego Batman Movie,230563096 
Hotel Transylvania 2,389747882 
Batman Returns,186824291 
The Secret Life of Pets 2,366109115 
The Mummy,336385488 
Over the Hedge,263397247 
Lilo & Stitch,165799997 
Deep Impact,269464664 
Grown Ups 2,167023808 
Alvin and the Chipmunks: Chipwrecked,269088523 
Get Smart,146739416 
Robots,180636271 
Shutter Island,219461782 
Something's Gotta Give,186685242 
Four Christmases,88311558 
Face/Off,161199984 
Bedtime Stories,141468935 
Road to Perdition,103354514 
Just Go With It,134974953 
Daredevil,102782518 
Eagle Eye,100585259 
Con Air,144117573 
Yogi Bear,124774690 
Cold Mountain,85173909 
The Book of Eli,78750817 
Flubber,97993801 
The Haunting,100188905 
Space Jam,170180384 
Fury,130315681 
Smallfoot,134244195 
The Pink Panther,78926474 
Zookeeper,90805525 
The Day the Earth Stood Still,157370350 
Conspiracy Theory,62783718 
"Six Days, Seven Nights",84800000 
Spirit: Stallion of the Cimarron,26515310 
Swordfish,67080413 
Fantasia 2000 (Theatrical Release),-10381366 
Lost In Space,56047317 
The Manchurian Candidate,16135872 
Déjà Vu,101038616 
Bewitched,51159306 
The Good Shepherd,20378271 
The Time Machine,18983590 
What Dreams May Come,-8514957 
Mighty Joe Young,-29367963 
Ad Astra,55406280 
The Legend of Zorro,61475336 
Little Nicky,-21729609 
Surrogates,39668350 
Evolution,18341932 
The Brothers Grimm,25299638 
Mars Attacks!,21371017 
The Wild,19010667 
Walking with Dinosaurs,43368842 
Thirteen Days,-13445453 
Daylight,78908290 
The Last Witch Hunter,50818912 
Pompeii,28469033 
Battlefield Earth: A Saga of the Year 3000,-50274337 
Looney Tunes: Back in Action,-25459338 
Nine,-23015781 
Timeline,-53296816 
Oceans,6787530 
Babe: Pig in the City,-10868140 
The Postman,-59158877 
Red Planet,-46536031 
Arthur et les Minimoys,33325743 
The Invasion,-39852958 
Amsterdam,-50600431 
A Sound of Thunder,-73699549 
The Aeronauts,-73371279 
The Lion King,906893783 
Journey 2: The Mysterious Island,239146162 
Jack and Jill,71519217 
A Beautiful Mind,239668058 
Cloudy with a Chance of Meatballs 2,196392649 
Red Dragon,128455420 
Hidalgo,30086731 
The League of Extraordinary Gentlemen,101265204 
Exorcist: The Beginning,-34042459 
Astérix et Obélix: Au service de Sa Majesté,-16919875 
The Little Prince,24528919 
Renegades,-75978328 
The Equalizer 2,113376181 
Despicable Me 2,899216835 
2 Fast 2 Furious,160410607 
Children of Men,-6154989 
